time,gFx,gFy,gFz,TgF
2.935058,-0.0574,0.9733,0.128,0.98
2.951132,-0.0469,0.9777,0.15,0.99
2.971696,-0.0489,0.9921,0.1476,1
2.98541,-0.0594,0.9929,0.1527,1.01
3.0188,-0.0384,1.0014,0.1454,1.01
3.035371,-0.0423,1.0031,0.1666,1.02
3.052302,-0.0623,0.9828,0.1515,1
3.074746,-0.0623,0.9635,0.1524,0.98
3.088829,-0.0542,0.9675,0.1478,0.98
3.119509,-0.0452,0.9704,0.1353,0.98
3.135413,-0.0603,0.9662,0.106,0.97
3.152788,-0.0469,0.9606,0.1527,0.97
3.173103,-0.0298,0.9315,0.0911,0.94
3.186422,-0.03,0.9108,0.1131,0.92
3.219931,-0.0403,0.8502,0.0821,0.86
3.237185,-0.0393,0.8111,0.0682,0.81
3.254302,-0.031,0.7769,0.0496,0.78
3.273118,-0.0093,0.7493,0.0354,0.75
3.287494,-0.0252,0.7107,0.0269,0.71
3.32025,-0.0875,0.5709,-0.0916,0.58
3.33777,-0.055,0.5206,-0.161,0.55
3.35316,0.0078,0.5719,-0.1566,0.59
3.373001,0.0513,0.7444,-0.1092,0.75
3.40311,-0.0049,0.9389,-0.1459,0.95
3.420723,-0.055,0.9755,-0.1466,0.99
3.437421,-0.0581,0.9508,-0.1561,0.97
3.453856,-0.0335,0.9252,-0.1732,0.94
3.474879,-0.0533,0.9413,-0.204,0.96
3.488182,-0.0843,0.976,-0.2345,1.01
3.520009,-0.0723,0.9946,-0.257,1.03
3.537716,-0.0322,0.9772,-0.2853,1.02
3.557544,-0.0249,0.987,-0.2822,1.03
3.571536,-0.0337,1.0344,-0.277,1.07
3.590293,0.012,1.1475,-0.2753,1.18
3.621422,0.0049,1.2562,-0.2917,1.29
3.638057,-0.041,1.2206,-0.2839,1.25
3.657812,-0.0535,1.1585,-0.31,1.2
3.671254,-0.0647,1.1343,-0.3066,1.18
3.705057,-0.1441,1.0764,-0.2966,1.13
3.721567,-0.1373,1.0434,-0.2888,1.09
