time,gFx,gFy,gFz,TgF
0.003559,-0.0203,0.9736,0.1879,0.99
0.010321,-0.0303,0.9716,0.203,0.99
0.035121,-0.0369,0.9863,0.2077,1.01
0.062073,-0.0344,0.9995,0.213,1.02
0.075973,-0.0227,0.9951,0.2123,1.02
0.093518,-0.023,0.9799,0.1998,1
0.110414,-0.0349,0.9635,0.1972,0.98
0.126547,-0.0366,0.9687,0.205,0.99
0.14604,-0.0315,0.9855,0.2094,1.01
0.176413,-0.0142,0.9916,0.2091,1.01
0.193728,-0.0161,0.9843,0.2038,1.01
0.210153,-0.0181,0.9811,0.2028,1
0.226942,-0.0364,0.977,0.1979,1
0.246699,-0.0257,0.9765,0.1996,1
0.276801,-0.0291,0.996,0.2096,1.02
0.294246,-0.0425,0.9912,0.2323,1.02
0.310378,-0.0254,0.9814,0.1581,0.99
0.327164,-0.0362,0.9692,0.1928,0.99
0.346874,-0.0142,0.9787,0.2187,1
0.37766,-0.0217,0.9877,0.1937,1.01
0.395071,-0.0247,0.9982,0.2113,1.02
0.411173,-0.0217,0.9968,0.2042,1.02
0.427564,-0.0205,0.9887,0.1937,1.01
0.464069,-0.02,0.978,0.1976,1
0.478071,-0.033,0.974,0.2121,1
0.494373,-0.0337,0.9765,0.204,1
0.511202,-0.0322,0.9931,0.1695,1.01
0.550035,-0.03,0.9831,0.1942,1
0.551128,-0.0279,0.9824,0.2011,1
0.57891,-0.0264,0.9714,0.2086,0.99
0.59505,-0.0327,0.9635,0.2143,0.99
0.613318,-0.0176,0.9638,0.2101,0.99
0.650969,0.0039,0.988,0.2118,1.01
0.663127,-0.0012,0.9965,0.2047,1.02
0.678539,-0.0142,1.009,0.2025,1.03
0.697029,-0.0276,1.0046,0.2016,1.02
0.712941,-0.0332,0.9892,0.1937,1.01
0.746906,-0.0073,0.9728,0.2081,0.99
0.768333,0.0061,0.9699,0.1962,0.99
0.782879,-0.0012,0.9709,0.1932,0.99
0.796465,-0.0142,0.9797,0.1918,1
0.813263,-0.0147,0.9902,0.1974,1.01
0.847077,-0.0183,0.9838,0.2196,1.01
0.867632,-0.0149,0.9977,0.2414,1.03
0.881411,-0.011,0.9999,0.1742,1.02
0.896719,-0.0457,0.987,0.2265,1.01
0.930804,-0.0134,0.9726,0.161,0.99
0.947253,-0.0022,0.9611,0.183,0.98
0.971049,0.0274,0.9775,0.2108,1
0.984844,0.0191,0.9938,0.1996,1.01
0.997209,-0.0132,1.0102,0.193,1.03
