time,gFx,gFy,gFz,TgF
7.05442,-0.1925,0.9496,0.0515,0.97
7.084498,-0.1923,0.9208,0.0823,0.94
7.10568,-0.2243,0.9543,0.0667,0.98
7.127763,-0.2179,0.978,0.0762,1
7.134525,-0.2113,0.9723,0.0608,1
7.168261,-0.1791,0.9682,0.0545,0.99
7.185769,-0.1776,1.0105,0.0711,1.03
7.208077,-0.1493,1.114,0.1029,1.13
7.228224,-0.1857,1.1561,0.1097,1.18
7.234504,-0.2074,1.1548,0.1082,1.18
7.269082,-0.2248,1.0945,0.0987,1.12
7.288949,-0.2003,1.1223,0.0498,1.14
7.302635,-0.1769,1.2157,0.063,1.23
7.322776,-0.1688,1.3574,0.075,1.37
7.344702,-0.1847,1.4685,0.0469,1.48
7.357758,-0.2052,1.4548,0.1268,1.47
7.385051,-0.1102,1.3596,0.0877,1.37
7.406499,-0.0669,1.182,-0.0264,1.18
7.430856,-0.0161,1.0063,-0.148,1.02
7.435825,-0.0208,0.9609,-0.1402,0.97
7.469198,0.0525,0.9711,0.0105,0.97
7.486477,0.0537,1.1216,0.0276,1.12
7.506823,-0.0083,1.2648,0.0088,1.26
7.528125,-0.0806,1.1671,0.0359,1.17
7.553169,-0.0533,0.9569,0.1073,0.96
7.569534,-0.0203,0.871,0.1073,0.88
7.587055,0.0225,0.8013,0.1104,0.81
7.603438,0.0396,0.7578,0.1026,0.77
7.626378,-0.0237,0.6999,0.0691,0.7
7.649502,-0.0679,0.6425,0.0178,0.65
7.669824,-0.0467,0.6139,0.0139,0.62
7.687794,-0.0191,0.5885,0.02,0.59
7.704109,-0.0037,0.5861,0.0726,0.59
7.724164,-0.0195,0.6049,0.0738,0.61
7.746349,-0.012,0.729,0.0176,0.73
7.770183,-0.0266,0.8932,0.0298,0.89
7.787051,-0.064,0.9411,0.0437,0.94
7.808645,-0.0369,0.9926,0.1002,1
7.831724,0.0406,1.0857,0.0967,1.09
7.853236,0.0557,1.1531,0.0989,1.16
7.871883,-0.0107,1.135,0.0787,1.14
7.888346,-0.0528,1.0745,0.0699,1.08
7.90505,-0.0318,1.0217,0.1143,1.03
7.924756,-0.0281,0.9894,0.1818,1.01
7.945829,-0.0682,1.039,0.066,1.04
7.971641,-0.0442,1.2,0.1009,1.21
7.988621,-0.0435,1.289,0.1204,1.3
8.005359,-0.0325,1.3295,0.0994,1.33
8.026323,-0.0325,1.3329,0.0472,1.33
8.046414,0.0002,1.4089,0.0858,1.41
8.070569,-0.0178,1.5159,0.0252,1.52
8.088373,-0.1102,1.4541,0.0782,1.46
8.108429,-0.1573,1.2929,0.0298,1.3
8.126802,-0.1986,1.1199,0.0315,1.14
8.147879,-0.2304,0.9276,-0.0708,0.96
8.171608,-0.2072,0.781,-0.0381,0.81
8.189839,-0.1129,0.8077,-0.0215,0.82
8.2051,-0.0757,0.871,-0.0056,0.87
8.226872,-0.1258,0.9841,0.0359,0.99
8.247419,-0.195,0.9802,0.0261,1
8.272327,-0.1764,0.8732,0.0652,0.89
8.289119,-0.1566,0.7857,0.095,0.81
8.307074,-0.1136,0.7141,0.0975,0.73
8.327648,-0.0872,0.674,0.0823,0.68
8.357747,-0.043,0.6792,0.087,0.69
8.373052,-0.0374,0.6965,0.0933,0.7
8.389263,-0.0457,0.7168,0.0855,0.72
8.430906,-0.1366,0.8008,0.0474,0.81
8.431444,-0.1371,0.8074,0.0491,0.82
8.455271,-0.119,0.8749,0.096,0.89
8.472086,-0.1112,0.9166,0.1542,0.94
8.508424,-0.1498,0.9836,0.1925,1.01
8.52914,-0.1779,0.9809,0.084,1
8.539239,-0.1722,0.9821,0.1307,1.01
8.556397,-0.1549,1.0043,0.1722,1.03
8.590328,-0.1749,1.0381,0.1632,1.07
8.608063,-0.206,1.0896,0.1151,1.11
8.62766,-0.2321,1.1656,0.1065,1.19
8.654276,-0.1981,1.3857,0.1561,1.41
8.666655,-0.2389,1.4876,0.1859,1.52
8.691044,-0.331,1.4803,0.2013,1.53
8.707324,-0.2758,1.3779,0.151,1.41
