time,gFx,gFy,gFz,TgF
0.143862,0.063,0.9973,0.2008,1.02
0.160836,0.0132,0.9833,0.2426,1.01
0.177248,0.0022,0.9826,0.1537,0.99
0.215232,0.076,1.018,0.1324,1.03
0.233998,0.054,1.0124,0.1485,1.02
0.245621,-0.0056,0.9995,0.1622,1.01
0.261242,-0.0369,0.9863,0.163,1
0.294757,-0.0059,0.9706,0.163,0.98
0.311354,0.0012,0.9743,0.1498,0.99
0.33087,0.0279,0.9828,0.1583,1
0.352754,0.0298,0.9858,0.1588,1
0.363342,0.0161,0.9931,0.1586,1.01
0.395315,-0.0017,1.0034,0.1654,1.02
0.411423,0.0066,1.0004,0.1705,1.01
0.431593,0.022,0.9853,0.1918,1
0.447627,0.0186,0.9787,0.1864,1
0.462217,0.009,0.9762,0.1854,0.99
0.495879,0.0315,0.9601,0.1246,0.97
0.513414,0.0049,0.9777,0.1732,0.99
0.533129,-0.0149,0.9872,0.2467,1.02
0.552181,0.022,0.9587,0.1524,0.97
0.563115,0.0408,0.967,0.1339,0.98
0.59611,0.0537,0.9787,0.2028,1
0.617466,0.0027,1.0188,0.2213,1.04
0.637488,-0.0237,1.0239,0.2321,1.05
0.645527,-0.0164,1.0021,0.2306,1.03
0.679781,-0.0064,0.9501,0.1652,0.96
0.697628,0.0054,0.9296,0.1737,0.95
0.714038,0.0213,0.9308,0.2218,0.96
0.735897,0.0354,0.9242,0.237,0.95
0.755822,0.0748,0.8946,0.2086,0.92
0.770355,0.1143,0.8905,0.2077,0.92
0.797438,0.1664,0.9504,0.1739,0.98
0.81946,0.1578,1.0195,0.1825,1.05
0.842063,0.1322,1.0911,0.205,1.12
0.847293,0.1317,1.0986,0.2108,1.13
0.880129,0.1302,1.1052,0.2228,1.13
0.899974,0.1097,1.0698,0.2846,1.11
0.915173,0.0457,1.0298,0.2575,1.06
0.936275,0.0276,0.9987,0.1759,1.01
0.960447,0.074,0.9628,0.1559,0.98
0.971961,0.085,0.9462,0.1615,0.96
0.999045,0.0933,0.8824,0.1454,0.9
1.015161,0.108,0.8612,0.0975,0.87
1.035113,0.1114,0.8903,0.1168,0.9
1.056888,0.1292,0.9359,0.1761,0.96
1.081312,0.1187,0.9526,0.1165,0.97
1.097648,0.0897,0.9907,0.1471,1.01
1.118542,0.0721,0.9982,0.1593,1.01
1.139253,0.1051,0.9772,0.1468,0.99
1.165459,0.1077,0.9291,0.1869,0.95
1.182212,0.107,0.8917,0.2235,0.93
1.198224,0.1116,0.8604,0.2033,0.89
1.220797,0.1393,0.8177,0.1749,0.85
1.23871,0.1395,0.7757,0.1935,0.81
1.265145,0.0943,0.7383,0.1378,0.76
1.28137,0.0613,0.731,0.1642,0.75
1.298373,0.0748,0.7473,0.1708,0.77
1.321806,0.1178,0.8131,0.1593,0.84
1.343596,0.1168,0.9081,0.1737,0.93
1.366113,0.1261,1.0547,0.2577,1.09
1.381886,0.1068,1.1353,0.3726,1.2
1.399764,0.0723,1.1768,0.3821,1.24
1.417255,0.0098,1.0405,0.3183,1.09
1.437385,-0.0088,0.8778,0.3068,0.93
1.45839,0.0618,0.741,0.289,0.8
1.482488,0.1055,0.7293,0.3359,0.81
1.499733,0.0369,0.8646,0.3718,0.94
1.516903,-0.0816,1.0112,0.3784,1.08
1.539395,-0.002,0.911,0.2465,0.94
1.562809,0.1375,0.8446,-0.0279,0.86
1.582467,0.2035,0.9709,-0.1871,1.01
1.599088,0.0562,1.1971,-0.1551,1.21
1.620069,-0.0772,1.4693,-0.0171,1.47
1.639501,-0.0562,1.7001,0.0767,1.7
1.666889,0.2362,1.7055,0.2729,1.74
1.683908,0.1752,1.5115,0.2805,1.55
1.699888,0.0889,1.342,0.2682,1.37
1.726852,0.0794,1.0141,0.289,1.06
1.743127,0.1092,0.8429,0.2255,0.88
1.766401,0.0794,0.7205,0.1053,0.73
1.783445,0.0335,0.7559,0.0379,0.76
1.800068,-0.0044,0.8133,-0.0049,0.81
1.82056,-0.0657,0.8915,0.0169,0.89
1.842858,-0.0388,0.9308,0.0963,0.94
1.867182,0.0213,0.9142,0.1143,0.92
1.883618,0.0359,0.9056,0.0581,0.91
1.901115,0.0029,0.9052,0.0359,0.91
1.917804,-0.0472,0.8927,0.0276,0.89
1.953934,-0.0958,0.7869,0.041,0.79
1.967544,-0.0638,0.738,0.0904,0.75
1.984173,-0.0066,0.6801,0.0491,0.68
2.001424,0.0376,0.6335,0.0467,0.64
2.039047,-0.0257,0.5687,-0.0298,0.57
2.061356,0.033,0.5551,-0.0662,0.56
2.061697,0.033,0.5551,-0.0662,0.56
2.084305,0.0173,0.7129,-0.054,0.72
2.102438,-0.1256,0.8732,-0.0178,0.88
2.140206,-0.0093,1.1067,0.2736,1.14
2.15926,0.1393,1.0999,-0.0726,1.11
2.174465,0.2455,1.2122,-0.2128,1.26
2.185062,0.2629,1.3588,-0.0826,1.39
2.201366,0.2223,1.5675,0.1253,1.59
2.240473,0.2272,1.5401,-0.2687,1.58
2.251033,0.2038,1.4417,-0.3567,1.5
2.268445,0.2382,1.2726,-0.3156,1.33
2.285032,0.1867,1.321,-0.0794,1.34
2.302578,0.0972,1.3789,0.1654,1.39
2.340279,0.2526,1.235,0.0562,1.26
2.364168,0.1994,1.0627,0.1019,1.09
2.364615,0.1994,1.0627,0.1019,1.09
2.385671,0.1644,0.934,0.0115,0.95
2.419823,0.1094,0.795,-0.0423,0.8
2.440287,0.1197,0.7578,-0.0169,0.77
