time,gFx,gFy,gFz,TgF
1.514349,-0.0936,0.9135,0.0186,0.92
1.556398,-0.0645,0.8675,-0.0122,0.87
1.55699,-0.0745,0.8712,-0.0156,0.87
1.576727,-0.1217,0.8763,-0.0042,0.88
1.596651,-0.0906,0.8768,0.0257,0.88
1.630731,-0.0647,0.8468,0.023,0.85
1.654692,-0.1073,0.8216,-0.0242,0.83
1.679566,-0.0977,0.7859,-0.0479,0.79
1.680028,-0.0977,0.7859,-0.0479,0.79
1.697363,-0.0792,0.7923,-0.0225,0.8
1.736138,-0.1053,0.8228,-0.0528,0.83
1.754375,-0.1395,0.8096,-0.087,0.83
1.763658,-0.1632,0.8109,-0.0906,0.83
1.781082,-0.2023,0.8135,-0.1075,0.85
1.798243,-0.1945,0.8245,-0.1046,0.85
1.837685,-0.1087,0.8121,-0.1063,0.83
1.838101,-0.1087,0.8121,-0.1063,0.83
1.857617,-0.1693,0.8167,-0.2013,0.86
1.880843,-0.2013,0.8551,-0.2832,0.92
1.898412,-0.1937,0.9333,-0.3298,1.01
1.932558,-0.2086,1.0481,-0.2133,1.09
1.956017,-0.1862,1.0762,-0.3056,1.13
1.979053,-0.1703,1.103,-0.3364,1.17
1.979412,-0.1703,1.103,-0.3364,1.17
1.998495,-0.192,1.0935,-0.3538,1.17
2.0397,-0.2052,1.061,-0.3582,1.14
2.040164,-0.2052,1.061,-0.3582,1.14
2.071584,-0.1459,1.02,-0.356,1.09
2.081768,-0.1317,0.999,-0.3689,1.07
2.115643,-0.1732,0.9633,-0.4295,1.07
2.131915,-0.1852,0.9376,-0.4332,1.05
2.155177,-0.1395,0.9262,-0.3997,1.02
2.177783,-0.0975,0.9469,-0.3933,1.03
2.183526,-0.0985,0.9499,-0.3985,1.03
2.215993,-0.0755,0.9491,-0.4295,1.04
2.240553,-0.1368,0.9196,-0.4732,1.04
2.260166,-0.1495,0.9196,-0.4749,1.05
2.265962,-0.141,0.9218,-0.4681,1.04
2.282228,-0.1075,0.9521,-0.4615,1.06
2.316115,-0.1605,1.0153,-0.4696,1.13
2.341461,-0.1908,0.9973,-0.4806,1.12
2.355159,-0.1571,0.9921,-0.4969,1.12
2.365971,-0.1151,1.0083,-0.5074,1.13
2.383405,-0.0322,1.0381,-0.5267,1.16
2.423382,-0.1388,1.0749,-0.5177,1.2
2.44394,-0.2541,1.1157,-0.513,1.25
2.450371,-0.2722,1.1243,-0.5033,1.26
2.466726,-0.2284,1.1182,-0.5228,1.26
2.483779,-0.1571,1.0969,-0.5497,1.24
2.524393,-0.1424,1.0657,-0.5233,1.2
2.524913,-0.1415,1.0669,-0.5184,1.19
2.550295,-0.1297,1.0508,-0.4478,1.15
2.567388,-0.0574,1.029,-0.4112,1.11
2.5844,-0.0154,1.0092,-0.3819,1.08
2.625595,-0.0831,1.0232,-0.2494,1.06
2.642235,-0.0528,1.0637,-0.2062,1.08
2.650119,-0.0286,1.0732,-0.205,1.09
2.668727,-0.009,1.0986,-0.2179,1.12
2.68583,-0.0252,1.0879,-0.2113,1.11
2.71822,-0.0325,0.9919,-0.1505,1
2.749921,-0.0344,0.9372,-0.1329,0.95
2.750146,-0.0344,0.9372,-0.1329,0.95
2.780002,-0.0396,0.9152,-0.0616,0.92
2.80152,-0.044,0.9345,-0.0848,0.94
2.818074,-0.0528,0.944,-0.0953,0.95
2.840632,-0.0457,0.9445,-0.0718,0.95
2.856211,-0.03,0.9433,-0.0559,0.95
2.88482,-0.012,0.9535,-0.0281,0.95
2.901968,-0.0198,0.9672,-0.0159,0.97
2.918545,-0.0176,0.9809,-0.0232,0.98
2.942677,-0.045,1.0234,-0.0489,1.03
2.958964,-0.0889,1.0422,-0.0396,1.05
2.985542,-0.0726,1.0412,0.0266,1.04
3.002328,-0.0454,1.0249,0.0528,1.03
3.018915,-0.0269,1.0073,0.0476,1.01
3.043101,-0.0418,0.997,0.0183,1
3.062565,-0.0401,0.9999,-0.0034,1
3.086087,-0.0322,1.0034,0.0151,1
3.101952,-0.0398,1.0087,0.0398,1.01
3.119251,-0.0076,1.0129,0.0384,1.01
3.144019,0.0088,1.02,-0.0144,1.02
3.159171,0.0186,1.0258,-0.0486,1.03
3.18623,0.0437,1.0153,-0.0472,1.02
3.202931,0.0501,1.0078,-0.0511,1.01
3.219585,0.0425,1.0222,-0.0081,1.02
3.236753,0.0237,1.0354,0.0501,1.04
3.260003,-0.0247,1.0417,0.0115,1.04
3.280218,-0.0098,1.0124,-0.0506,1.01
3.302644,0.0002,0.9887,-0.0186,0.99
3.321484,-0.009,0.9907,0.0467,0.99
3.360081,-0.0704,1.0574,0.1468,1.07
3.360495,-0.0704,1.0574,0.1468,1.07
3.386017,-0.0943,1.0454,0.0826,1.05
3.403094,-0.0826,1.0148,0.0547,1.02
3.419722,-0.0076,0.9706,0.0574,0.97
3.444088,0.141,0.8898,0.0677,0.9
3.462046,0.1688,0.8534,0.0958,0.88
3.486936,0.0721,0.8707,0.0987,0.88
3.504127,-0.0127,0.9372,0.1148,0.94
3.520314,-0.0926,1.0017,0.0953,1.01
3.544788,-0.1969,1.0481,0.0232,1.07
3.56287,-0.2402,1.0383,0.0022,1.07
3.588214,-0.1837,0.9902,0.0098,1.01
3.604372,-0.149,0.9748,0.0054,0.99
3.621283,-0.1546,0.9731,0.0161,0.99
3.645002,-0.2069,1.0134,-0.0081,1.03
3.664098,-0.2885,1.0378,-0.0479,1.08
3.688201,-0.312,1.0246,-0.0728,1.07
3.70437,-0.2919,1.009,-0.0816,1.05
3.738604,-0.374,0.9868,-0.0418,1.06
3.762588,-0.4033,0.9587,-0.0696,1.04
3.779113,-0.3894,0.9445,-0.0811,1.02
3.794008,-0.3782,0.9323,-0.0562,1.01
3.804467,-0.3968,0.9352,-0.0225,1.02
3.838321,-0.43,0.9489,0.0716,1.04
3.861568,-0.4415,0.8942,0.0567,1
3.879044,-0.4341,0.8499,0.0403,0.96
3.889291,-0.4422,0.8451,0.0689,0.96
3.905067,-0.4725,0.857,0.1031,0.98
3.939444,-0.4747,0.825,0.0586,0.95
3.96362,-0.4625,0.8111,0.1566,0.95
3.984276,-0.4698,0.8047,0.1292,0.94
3.99237,-0.4632,0.8077,0.1085,0.94
4.00615,-0.4459,0.8172,0.1116,0.94
4.046654,-0.3669,0.8568,0.2348,0.96
4.046956,-0.3669,0.8568,0.2348,0.96
4.072461,-0.3928,0.8514,0.2245,0.96
4.089005,-0.4351,0.8292,0.2529,0.97
4.122614,-0.5326,0.7791,0.2973,0.99
4.140249,-0.5446,0.7554,0.3782,1.01
4.164178,-0.5152,0.7561,0.4468,1.02
4.180989,-0.4642,0.7388,0.4933,1
4.19115,-0.398,0.7239,0.4852,0.96
4.20702,-0.3286,0.7021,0.4649,0.9
4.248565,-0.312,0.7605,0.613,1.03
4.249045,-0.3218,0.7669,0.6332,1.05
4.277009,-0.4547,0.8174,0.7302,1.19
4.289507,-0.4942,0.7808,0.6999,1.16
4.323095,-0.3198,0.59,0.7009,0.97
4.340244,-0.3068,0.4935,0.7588,0.96
4.363032,-0.269,0.4036,0.7781,0.92
4.387253,-0.2238,0.3459,0.75,0.86
4.396973,-0.2184,0.3413,0.7112,0.82
4.424057,-0.2959,0.4329,0.7344,0.9
4.44063,-0.2722,0.4556,0.7209,0.9
4.464161,-0.1766,0.4813,0.7275,0.89
4.481305,-0.1126,0.504,0.6955,0.87
4.490031,-0.106,0.5143,0.6477,0.83
4.52437,-0.1104,0.4141,0.9276,1.02
4.547424,-0.0491,0.3337,0.828,0.89
4.569168,-0.0787,0.323,0.8773,0.94
4.576059,-0.0655,0.3071,0.9071,0.96
4.590862,-0.076,0.2856,1.0644,1.1
4.62469,-0.0726,0.2001,1.0337,1.06
4.648475,-0.0809,0.3667,1.0855,1.15
4.670175,-0.0608,0.2917,1.0447,1.09
4.676809,-0.01,0.2289,1.0395,1.06
4.708369,0.152,0.1507,1.1758,1.2
4.725545,0.1564,0.1852,1.1006,1.13
4.742457,0.0518,0.2106,1.0473,1.07
4.764015,-0.0171,0.2111,1.1294,1.15
4.787234,-0.0559,0.149,1.1746,1.19
4.807714,-0.0401,0.0799,1.1844,1.19
4.825737,0.01,-0.0552,0.9611,0.96
4.842033,0.0603,-0.1669,0.921,0.94
4.86645,0.0633,-0.1888,1.0979,1.12
4.885067,0.0379,-0.1224,1.1524,1.16
4.909533,0.0247,-0.0435,0.7625,0.76
4.926367,0.0403,-0.0704,0.8441,0.85
4.942475,0.1031,-0.088,1.1333,1.14
4.966856,0.1336,-0.1305,1.1719,1.19
4.980254,0.064,-0.1116,1.1248,1.13
5.009723,-0.0308,-0.1339,0.857,0.87
5.026128,0.0225,-0.119,0.9254,0.93
5.049239,0.0821,-0.0948,1.0161,1.02
5.068721,0.0581,-0.0704,1.0569,1.06
5.075517,0.0508,-0.0684,1.06,1.06
5.109992,0.0679,-0.1534,0.935,0.95
