time,gFx,gFy,gFz,TgF
1.983795,-0.0457,0.9547,0.0142,0.96
2.003531,-0.0388,0.9386,0.0425,0.94
2.033881,-0.0467,0.9262,0.0545,0.93
2.051498,-0.0537,0.9213,0.0357,0.92
2.068171,-0.0696,0.9259,0.0496,0.93
2.084973,-0.0726,0.9467,0.0552,0.95
2.104223,-0.0584,0.9767,0.0552,0.98
2.134266,-0.0391,0.9929,0.0154,0.99
2.151743,-0.0716,0.9968,-0.0176,1
2.167868,-0.0884,1.0114,-0.0159,1.02
2.187841,-0.0669,1.0383,0.0349,1.04
2.218272,-0.0017,1.0073,0.0203,1.01
2.235464,-0.0296,0.9738,0.0237,0.97
2.252536,-0.0723,0.9447,0.0264,0.95
2.268295,-0.0948,0.9271,0.0662,0.93
2.288038,-0.0792,0.9293,0.088,0.94
2.318158,-0.0352,0.9841,0.1178,0.99
2.335707,-0.0542,1.0481,0.1148,1.06
2.35175,-0.0447,1.105,0.1065,1.11
2.369434,-0.0044,1.1434,0.1019,1.15
2.386143,0.0193,1.1267,0.0816,1.13
2.41811,0.0022,1.0276,0.0159,1.03
2.435829,0.0171,1.029,0.0247,1.03
2.452474,0.0469,1.0676,0.0833,1.07
2.469848,0.0782,1.0796,0.0821,1.09
2.486036,0.066,1.0508,0.0533,1.05
2.519467,0.0344,0.9445,0.0369,0.95
2.535855,0.0142,0.9418,0.0457,0.94
2.553887,0.0181,0.9662,0.066,0.97
2.569818,0.0464,1.0268,0.1075,1.03
2.590317,0.0738,1.0808,0.1564,1.09
2.623266,0.0344,1.0767,0.0948,1.08
2.635522,0.0342,1.0698,0.1116,1.08
2.652777,0.0796,1.0385,0.1261,1.05
2.688963,0.0173,0.9442,0.0948,0.95
2.703611,0.0191,0.9179,0.097,0.92
2.719347,0.0359,0.9039,0.1075,0.91
2.736476,0.0474,0.8966,0.1236,0.91
2.753955,0.0574,0.8839,0.1107,0.89
2.7901,-0.0007,0.8705,0.0923,0.88
2.803929,0,0.8986,0.1312,0.91
2.820043,0.0266,0.9352,0.1407,0.95
2.837483,0.0537,0.9562,0.0794,0.96
2.854368,0.0213,0.9738,-0.0222,0.97
2.887322,0.0511,0.9762,0.0733,0.98
2.918913,0.0867,0.9753,0.0965,0.98
2.920943,0.0789,0.9833,0.1038,0.99
2.937568,0.0401,0.9997,0.0669,1
2.971058,0.0344,1.0764,0.0699,1.08
2.987731,0.0535,1.1138,0.14,1.12
3.007966,0.034,1.1304,0.1647,1.14
3.020989,0.0325,1.1177,0.1297,1.13
3.037762,0.0266,1.0879,0.0889,1.09
3.073218,-0.0235,1.0407,0.0726,1.04
3.087808,-0.0242,1.0339,0.0647,1.04
3.108751,0.0105,1.0288,0.0442,1.03
3.12239,0.0171,1.04,0.0596,1.04
3.138272,0.0007,1.0603,0.0002,1.06
3.171958,-0.1026,1.138,-0.0149,1.14
3.188365,-0.1138,1.1241,-0.0181,1.13
3.208786,-0.0875,1.0449,-0.0129,1.05
3.222105,-0.0777,0.985,-0.009,0.99
3.238704,-0.0938,0.9311,-0.0068,0.94
3.274979,-0.0726,0.9824,0.0259,0.99
3.288973,-0.0457,1.0217,0.0371,1.02
3.305623,-0.044,1.0618,0.0374,1.06
3.322173,-0.065,1.0872,0.033,1.09
3.341536,-0.0618,1.0986,0.0249,1.1
3.372279,-0.0032,1.0234,0.0266,1.02
3.391661,-0.0054,0.9543,0.0318,0.95
3.405769,-0.0164,0.9218,0.0518,0.92
3.422163,-0.0239,0.8898,0.0689,0.89
3.439753,-0.0349,0.8653,0.0601,0.87
3.473464,-0.0713,0.8675,0.0366,0.87
3.490038,-0.0623,0.8871,0.0535,0.89
3.509506,-0.0665,0.9335,0.0401,0.94
3.523107,-0.0508,0.9601,0.0533,0.96
3.557154,-0.0599,0.9567,-0.0049,0.96
3.573242,-0.0608,0.9367,0.0086,0.94
